position|responses_english|responses_spanish|question_english|question_spanish|reverse|component|subcategory|subcomponent
35|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|This team’s purposes are so challenging that members have to stretch to accomplish them|Los propósitos de este equipo resultan ser un desafío tan intenso que los miembros deben mejorar para conseguirlo.|false|Compelling Direction|Challenging|
38|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|This team’s purposes are not especially challenging--achieving them is well within reach|Los propósitos de este equipo no son especialmente desafiantes -- conseguirlos está fácilmente al alcance|true|Compelling Direction|Challenging|
41|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|The purposes of this team doesn’t make much of a difference to anybody else|El propósito de este equipo no le importa a nadie|true|Compelling Direction|Consecuential|
44|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|This team’s purposes are of great consequence for those we serve|El propósito de este equipo tiene consecuencias importantes para aquellos a quién servimos.|false|Compelling Direction|Consecuential|
76|The purposes of our team are specified by others, but the means and procedures we use to accomplish them are left to us. // The means or procedures we are supposed to use in our work are specified in detail by others, but the purposes of our team are left unstated.  // Both the purposes of our team and the means or procedures we are supposed to use in our work are specified in detail by others. // Neither the purposes nor the means are specified by others for our team.|El propósito de nuestro equipo es especificado por otros pero los medios y los procesos que usamos para cumplirlos están en nuestras manos. // Los medios y los procesos que se supone que debemos usar en nuestro trabajo están especificados detalladamente por otros pero el propósito de nuestro equipo está en nuestras manos. // Tanto el propósito del equipo como los medios y los procesos que se supone que debemos usar en nuestro trabajo están especificados detalladamente por otros.  // Ni los propósitos ni los medios de nuestro equipo son especificados por otras personas.|In this team:|En este equipo:|false|Compelling Direction|Ends Vs Means|
2|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|This team is larger than it needs to be|Este equipo es más grande de lo que necesita|true|Enabling Structure|Team Composition|Size
6|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|This team has too few members for what it has to accomplish|Este equipo tiene pocos miembros para lo que tiene que conseguir|true|Enabling Structure|Team Composition|Size
10|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|This team is just the right size to accomplish its purposes|Este equipo tiene el tamaño adecuado para conseguir sus propósitos|false|Enabling Structure|Team Composition|Size
14|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Members of this team are too dissimilar to work together well|Los miembros de este equipo son demasiado diferentes como para trabajar bien juntos|true|Enabling Structure|Team Composition|Diversity
18|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|This team does not have a broad enough range of experiences and perspectives to accomplish its purposes|Este equipo no cuenta con un rango de experiencias y perspectivas suficientemente variadas como para conseguir su propósito|true|Enabling Structure|Team Composition|Diversity
21|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|This team has a nearly ideal “mix” of members--a diverse set of people who bring different perspectives and experiences to the work|Este equipo tiene la mezcla ideal de miembros: un conjunto diverso de personas que aportan distintas perspectivas y experiencias al trabajo|false|Enabling Structure|Team Composition|Diversity
24|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Members of this work team have more than enough talent and experience for the kind of work that we do|Los miembros de este equipo tienen talento y experiencia más que suficientes para el tipo de trabajo que realizamos|false|Enabling Structure|Team Composition|Skills
27|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Everyone in this team has the special skills that are needed for team’s work|Todos en este equipo tienen las habilidades especiales que son necesarias para el trabajo del equipo|false|Enabling Structure|Team Composition|Skills
30|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Some members of this team lack the knowledge and skills that they need to do their parts of the team’s work|A algunos miembros de este equipo les falta el conocimiento y las habilidades necesarias para hacer su parte del trabajo del equipo|true|Enabling Structure|Team Composition|Skills
33|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|We do a whole, identifiable piece of work|Realizamos una pieza de trabajo completa e identificable|false|Enabling Structure|Team Task Design|Whole Task
36|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Our team does such a small part of the overall task that it is hard to point specifically to our special contribution|Nuestro equipo hace una parte tan pequeña de toda la tarea que es difícil identificar específicamente nuestra contribución|true|Enabling Structure|Team Task Design|Whole Task
39|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|This team’s work is inherently meaningful|El trabajo de este equipo es inherentemente significativo|false|Enabling Structure|Team Task Design|Whole Task
42|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|The work of this team leaves little room for the exercise of judgment or initiative|El trabajo de este equipo deja poco espacio para el juicio o la iniciativa propia|true|Enabling Structure|Team Task Design|Autonomy
45|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|The work we do requires the team to make many “judgment calls” as we carry it out.|El trabajo que hacemos requiere que el equipo tome muchas decisiones de juicio mientras lo estamos realizando|false|Enabling Structure|Team Task Design|Autonomy
47|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Carrying out our team’s task automatically generates trustworthy indicators of how well we are doing|Realizar el trabajo de nuestro equipo automáticamente genera indicadores de confianza sobre que tan bien lo estamos haciendo|false|Enabling Structure|Team Task Design|Knowledge of Results
49|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|The work itself provides almost no trustworthy feedback about our team’s performance|El trabajo en sí mismo no aporta prácticamente ningún feedback confiable sobre el desempeño del equipo|true|Enabling Structure|Team Task Design|Knowledge of Results
51|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|The only way we can figure out how well we are performing is for other people in the organization to tell us|La única forma por la cual conocemos nuestro desempeño es que otras personas dentro de la organización nos lo digan|true|Enabling Structure|Team Task Design|Knowledge of Results
53|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Standards for member behavior in this team are vague and unclear|Las normas de comportamiento en este equipo son vagas y poco claras|true|Enabling Structure|Team Task Design|Group Norms
55|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|It is clear what is--and what is not--acceptable member behavior in this team|Está claro cual es y cual no es un comportamiento aceptable en este equipo|false|Enabling Structure|Team Task Design|Group Norms
57|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Members of this team agree about how members are expected to behave|Los miembros de este equipo están de acuerdo sobre cómo se espera que sea su comportamiento|false|Enabling Structure|Team Task Design|Group Norms
59|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Excellent team performance pays off in this organization|Un desempeño excelente del equipo es reconocido dentro de la organización|false|Supportive Organizational Context|Rewards/Recognition|
61|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Even teams that do an especially good job are not recognized or rewarded by the organization|Hasta los equipos que hacen un trabajo sobresaliente no son reconocidos o recompensados dentro de la organización|true|Supportive Organizational Context|Rewards/Recognition|
63|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|This organization recognizes and reinforces teams that perform well|Esta organización reconoce y refuerza los equipos de buen desempeño|false|Supportive Organizational Context|Rewards/Recognition|
65|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|It is easy for teams in this organization to get any data or forecasts that members need to do their work|Es fácil para los equipos en esta organización conseguir cualquier información necesaria para que sus miembros puedan desarrollar su trabajo|false|Supportive Organizational Context|Information|
67|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|This organization keeps its teams in the dark about information that could affect their work plans|Esta organización oculta información relevante a sus equipos, que podría afectar sus planes de trabajo|true|Supportive Organizational Context|Information|
69|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Teams in this organization can get whatever information they need to plan their work|Los equipos dentro de la organización pueden conseguir cualquier información necesaria para poder planear su trabajo|false|Supportive Organizational Context|Information|
71|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Teams in this organization have to make do with whatever expertise members already have-- technical training and support are not available even when needed|Los equipos dentro de la organización tienen que adaptarse a la experiencia que sus miembros poseen - El soporte y entrenamiento técnico no están disponibles cuando es necesario|true|Supportive Organizational Context|Education/Consultation|
73|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|When something comes up that team members do not know how to handle, it is easy for them to obtain the training or technical advice they need|Cuando surge un requerimiento que los miembros del equipo no saben cómo solucionar, es fácil para ellos obtener el entrenamiento o consejo técnico que necesitan|false|Supportive Organizational Context|Education/Consultation|
75|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|In this organization, teams do not receive adequate training for the work they have to do|En esta organización, los equipos no reciben el entrenamiento adecuado para el trabajo que tienen que desempeñar|true|Supportive Organizational Context|Education/Consultation|
72|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Teams in this organization can readily obtain all the material resources that they need for their work|Los equipos en esta organización consiguen todos los recursos que necesitan para poder desarrollar su trabajo|false|Supportive Organizational Context|Material/Resources|
74|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Scarcity of resources is a real problem for teams in this organization|La escasez de recursos es un problema real para los equipos en esta organización|true|Supportive Organizational Context|Material/Resources|
77|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Rank the relative frequency with which their team leader engages in this activity: Coaching individual team members.|Rankea la frecuencia relativa en la que el líder del equipo se ocupa de esta actividad: Coaching individual con miembros del equipo.|false|Expert Coaching|Focus of Leader’s Attention|
78|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Rank the relative frequency with which their team leader engages in this activity: Helping team members learn how to work well together.|Rankea la frecuencia relativa en la que el líder del equipo se ocupa de esta actividad: Ayudando a los miembros del equipo a aprender cómo trabajar bien juntos.|false|Expert Coaching|Focus of Leader’s Attention|
79|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Rank the relative frequency with which their team leader engages in this activity: Getting the team set up right--clarifying its purpose, picking members, structuring the task, setting expectations, and so on.|Rankea la frecuencia relativa en la que el líder del equipo se ocupa de esta actividad: Inicializando y preparando el equipo -- Clarificando su propósito, eligiendo sus miembros, estructurando las tareas, explicitando expectativas, y así sucesivamente.|false|Expert Coaching|Focus of Leader’s Attention|
80|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Rank the relative frequency with which their team leader engages in this activity: Running external interference for the team--getting resources, securing outside assistance, removing roadblocks, and so on.|Rankea la frecuencia relativa en la que el líder del equipo se ocupa de esta actividad: Encargándose de interferencias externas para el equipo -- obteniendo recursos, asegurando asistencia externa, quitando bloqueos, y así sucesivamente|false|Expert Coaching|Focus of Leader’s Attention|
3|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|When members of teams in this organization have trouble working together, there is no one available to help them out. (R)|Cuando miembros de equipos en la organización tienen problemas trabajando juntos no hay nadie disponible para ayudarles.|true|Expert Coaching|Coaching Availability|
7|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Teams in this organization have access to “coaches” who can help them learn from their successes and mistakes. (R)|Los equipos en esta organización tiene acceso a coaches que les pueden ayudar a aprender sobre sus logros y errores.|true|Expert Coaching|Coaching Availability|
11|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Expert coaches are readily available to teams in this organization.|Hay coaches fácilmente disponibles para los equipos de la organización.|false|Expert Coaching|Coaching Availability|
15|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Overall, how helpful is your team leader in building your team’s capabilities?|¿En general, de cuánta ayuda és el líder del equipo a la hora de construir las capacidades del equipo?|false|Expert Coaching|Helpfulness of team leader coaching|Overall
81|1 // 2 // 3 // 4|1 // 2 // 3 // 4|The team leader helps the team build a high shared commitment to its purposes.|El líder del equipo ayuda al equipo a construir un alto compromiso colectivo con sus propósitos.|false|Expert Coaching|Helpfulness of team leader coaching|Task-Focused Coaching
82|1 // 2 // 3 // 4|1 // 2 // 3 // 4|The team leader helps the team sustain the motivation of all members.|El líder del equipo ayuda al equipo a mantener la motivación de todos sus miembros.|false|Expert Coaching|Helpfulness of team leader coaching|Task-Focused Coaching
83|1 // 2 // 3 // 4|1 // 2 // 3 // 4|The team leader works with the team to develop the best-possible approach to its work.|El líder del equipo trabaja con el equipo para desarrollar el mejor enfoque posible en su trabajo.|false|Expert Coaching|Helpfulness of team leader coaching|Task-Focused Coaching
84|1 // 2 // 3 // 4|1 // 2 // 3 // 4|The team leader keeps the team alert to anything that might require a change of work strategy.|El líder del equipo mantiene al equipo alerta respecto a cualquier cosa que pueda requerir un cambio en la estrategia de trabajo.|false|Expert Coaching|Helpfulness of team leader coaching|Task-Focused Coaching
85|1 // 2 // 3 // 4|1 // 2 // 3 // 4|The team leader helps members learn from one another and from the team’s work experiences.|El líder del equipo ayuda al equipo a aprender uno del otro y de las experiencias de trabajo conjuntas.|false|Expert Coaching|Helpfulness of team leader coaching|Task-Focused Coaching
86|1 // 2 // 3 // 4|1 // 2 // 3 // 4|The team leader helps the team identify and use well each member’s unique talents.|El líder del equipo ayuda al equipo a identificar y usar adecuadamente cada uno de los talentos únicos de sus miembros.|false|Expert Coaching|Helpfulness of team leader coaching|Task-Focused Coaching
87|1 // 2 // 3 // 4|1 // 2 // 3 // 4|The team leader provides positive feedback when the team behaves or performs well.|El líder del equipo Da feedback positivo cuando el equipo se comporta o desempeña bien.|false|Expert Coaching|Helpfulness of team leader coaching|Operant Coaching
88|1 // 2 // 3 // 4|1 // 2 // 3 // 4|The team leader provides corrective feedback when needed.|El líder del equipo Da feedback correctivo cuando es necesario.|false|Expert Coaching|Helpfulness of team leader coaching|Operant Coaching
89|1 // 2 // 3 // 4|1 // 2 // 3 // 4|The team leader gives inappropriate or undeserved praise or criticism.|El líder del equipo Da críticas o elogios inapropiados o no merecidos.|true|Expert Coaching|Helpfulness of team leader coaching|Operant Coaching
90|1 // 2 // 3 // 4|1 // 2 // 3 // 4|The team leader helps members resolve any conflicts that may develop among them.|El líder del equipo ayuda a los miembros a resolver cualquier conflicto que pueda surgir entre ellos.|false|Expert Coaching|Helpfulness of team leader coaching|Interpersonal Coaching
91|1 // 2 // 3 // 4|1 // 2 // 3 // 4|The team leader helps members work on improving their interpersonal relationships.|El líder del equipo ayuda a los miembros a trabajar en la mejora de sus relaciones interpersonales.|false|Expert Coaching|Helpfulness of team leader coaching|Interpersonal Coaching
92|1 // 2 // 3 // 4|1 // 2 // 3 // 4|The team leader micromanages the content and process of team discussions.|El líder del equipo hace micromanagement sobre el contenido y proceso de las discusiones del equipo.|true|Expert Coaching|Helpfulness of team leader coaching|Unhelpful Directives
93|1 // 2 // 3 // 4|1 // 2 // 3 // 4|The team leader instructs the team in detail about how to solve its problems.|El líder del equipo le dice al equipo en detalle sobre cómo resolver sus problemas.|true|Expert Coaching|Helpfulness of team leader coaching|Unhelpful Directives
94|1 // 2 // 3 // 4|1 // 2 // 3 // 4|The team leader tells the team everything it is doing wrong. |El líder del equipo le dice al equipo todo lo que está haciendo mal.|true|Expert Coaching|Helpfulness of team leader coaching|Unhelpful Directives
95|1 // 2 // 3 // 4|1 // 2 // 3 // 4|Regular team members take initiatives to promote high shared motivation and commitment. |Los miembros regulares del equipo toman la iniciativa para promover una alta motivación y compromiso|false|Expert Coaching|Extent and focus of coaching provided by peers.|Task-Focused Peer Coaching
96|1 // 2 // 3 // 4|1 // 2 // 3 // 4|Regular team members take initiatives to make sure the team develops and uses the best possible approach to its work. |Los miembros regulares del equipo toman la iniciativa para asegurarse de que el equipo se desarrolle y use el mejor enfoque en su trabajo|false|Expert Coaching|Extent and focus of coaching provided by peers.|Task-Focused Peer Coaching
97|1 // 2 // 3 // 4|1 // 2 // 3 // 4|Regular team members take initiatives to help the team build and use well members’ knowledge and skills.|Los miembros regulares del equipo toman la iniciativa para ayudar a la construcción y uso del conocimiento y habilidades del equipo|false|Expert Coaching|Extent and focus of coaching provided by peers.|Task-Focused Peer Coaching
98|1 // 2 // 3 // 4|1 // 2 // 3 // 4|Regular team members take initiatives to constructively resolve any problems or conflicts that develop among members.|Los miembros regulares del equipo toman la iniciativa para resolver constructivamente los problemas o conflictos que puedan surgir entre los miembros del equipo|false|Expert Coaching|Extent and focus of coaching provided by peers.|Interpersonal Peer Coaching
99|1 // 2 // 3 // 4|1 // 2 // 3 // 4|Regular team members tell other members what to do and how they should do it. |Los miembros regulares del equipo le dicen a los otros que hacer y cómo lo deberían hacer|true|Expert Coaching|Extent and focus of coaching provided by peers.|Unhelpful Peer Interventions
4|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Members demonstrate their commitment to our team by putting in extra time and effort to help it succeed.|Los miembros demuestran su compromiso con el equipo al poner tiempo y esfuerzo extra para conseguir que sea exitoso|false|Expert Coaching|Effort-Related Process Criteria|
8|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Everyone on this team is motivated to have the team succeed.|Todos en el equipo están motivados para hacer que sea exitoso|false|Expert Coaching|Effort-Related Process Criteria|
12|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Some members of our team do not carry their fair share of the overall workload.|Algunos miembros del equipo no asumen una parte justa de la carga de trabajo total.|true|Expert Coaching|Effort-Related Process Criteria|
16|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Our team often comes up with innovative ways of proceeding with the work that turn out to be just what is needed.|Nuestro equipo con frecuencia idea formas innovadoras de proceder con el trabajo que resultan ser justo lo que era necesario|false|Expert Coaching|Strategy-Related Process Criteria|
19|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Our team often falls into mindless routines, without noticing any changes that may have occurred in our situation. (R)|Nuestro equipo con frecuencia cae en rutinas sin sentido, sin darse cuenta de los cambios que pueden haber ocurrido en nuestra situación|true|Expert Coaching|Strategy-Related Process Criteria|
22|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Our team has a great deal of difficulty actually carrying out the plans we make for how we will proceed with the task. (R)|Nuestro equipo tiene una gran dificultad a la hora de implementar los planes que hacemos para proceder con una tarea|true|Expert Coaching|Strategy-Related Process Criteria|
25|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|How seriously a member’s ideas are taken by others on our team often depends more on who the person is than on how much he or she actually knows.|La seriedad con la que son tomadas las ideas de un miembro del equipo por los otros depende más de quién es esa persona, que de qué tanto sabe en realidad.|true|Expert Coaching|Knowledge-and-Skill-Related Process Criteria|
28|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Members of our team actively share their special knowledge and expertise with one another.|Los miembros de nuestro equipo comparten activamente su conocimiento y experiencia entre ellos|false|Expert Coaching|Knowledge-and-Skill-Related Process Criteria|
31|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Our team is quite skilled at capturing the lessons that can be learned from our work experiences.| Nuestro equipo es lo suficientemente habilidoso para capturar las lecciones que pueden ser aprendidas de nuestras experiencias de trabajo|false|Expert Coaching|Knowledge-and-Skill-Related Process Criteria|
34|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|There is a lot of unpleasantness among members of this team.|Hay un ambiente desagradable entre los miembros de este equipo|true|Expert Coaching|Quality of Team Interaction|
37|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|The longer we work together as a team, the less well we do.|Entre más trabajamos juntos, peor nos va.|true|Expert Coaching|Quality of Team Interaction|
40|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Working together energizes and uplifts members of our team.|Trabajar juntos energiza y motiva a los miembros de nuestro equipo|false|Expert Coaching|Quality of Team Interaction|
43|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Every time someone attempts to correct a team member whose behavior is not acceptable, things seem to get worse rather than better.|Cada vez que alguien intenta corregir a un miembro del equipo cuyo comportamiento no es aceptable, las cosas parecen empeorar en vez de mejorar|true|Expert Coaching|Quality of Team Interaction|
46|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|My relations with other team members are strained.|Mis relaciones con otros miembros del equipo están en tensión|true|Expert Coaching|Satisfaction with Team Relationships|
48|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|I very much enjoy talking and working with my teammates. |Disfruto mucho hablar y trabajar con mis compañeros de equipo|false|Expert Coaching|Satisfaction with Team Relationships|
50|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|The chance to get to know my teammates is one of the best parts of working on this team.| La oportunidad de poder conocer a mis compañeros es una de las mejores cosas de trabajar en este equipo|false|Expert Coaching|Satisfaction with Team Relationships|
52|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|I feel a real sense of personal satisfaction when our team does well.|Me da satisfacción personal cuando nuestro equipo tiene un buen desempeño.|false|Expert Coaching|Internal Work Motivation|
54|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|I feel bad and unhappy when our team has performed poorly.|Me siento mal e infeliz cuando el desempeño de nuestro equipo es malo|false|Expert Coaching|Internal Work Motivation|
56|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|My own feelings are not affected one way or the other by how well our team performs.|Mis sentimientos no se ven afectados de una forma u otra por cuán bueno es el desempeño de nuestro equipo|true|Expert Coaching|Internal Work Motivation|
58|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|When our team has done well, I have done well.| Cuando nuestro equipo ha hecho las cosas bien, yo lo he hecho bien|false|Expert Coaching|Internal Work Motivation|
60|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|I learn a great deal from my work on this team.|Aprendo mucho de mi trabajo en este equipo|false|Expert Coaching|Satisfaction with Group Opportunities|
62|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|My own creativity and initiative are suppressed by this team.|Mi creatividad e iniciativa son reprimidas por este equipo|true|Expert Coaching|Satisfaction with Group Opportunities|
64|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Working on this team stretches my personal knowledge and skills.|Trabajar con este equipo amplía mis habilidades y conocimientos.|false|Expert Coaching|Satisfaction with Group Opportunities|
66|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|I enjoy the kind of work we do in this team|Disfruto el tipo de trabajo que hacemos en este equipo|false|Expert Coaching|General Satisfaction|
68|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Working on this team is an exercise in frustration.|Trabajar en este equipo es un ejercicio de frustración|true|Expert Coaching|General Satisfaction|
70|1 // 2 // 3 // 4 // 5|1 // 2 // 3 // 4 // 5|Generally speaking, I am very satisfied with this team|En términos generales, estoy muy satisfecho con este equipo|false|Expert Coaching|General Satisfaction|
